Token: FLOAT, Tipo: FLOAT, Línea: 10, Columna: 1
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 10, Columna: 10
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 10, Columna: 18
Token: CHAR, Tipo: CHAR, Línea: 10, Columna: 29
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 10, Columna: 36
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 10, Columna: 42
Token: OPEN_BLOCK, Tipo: UNDEFINED, Línea: 11, Columna: 1
Token: CHAR, Tipo: CHAR, Línea: 12, Columna: 5
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 12, Columna: 12
Token: ASSIGN, Tipo: UNDEFINED, Línea: 12, Columna: 21
Token: CHAR_LITERAL, Tipo: UNDEFINED, Línea: 12, Columna: 29
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 12, Columna: 33
Token: STRING, Tipo: STRING, Línea: 13, Columna: 5
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 13, Columna: 12
Token: ASSIGN, Tipo: UNDEFINED, Línea: 13, Columna: 19
Token: STRING_LITERAL, Tipo: UNDEFINED, Línea: 13, Columna: 27
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 13, Columna: 66
Token: FLOAT, Tipo: FLOAT, Línea: 14, Columna: 5
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 14, Columna: 14
Token: ASSIGN, Tipo: UNDEFINED, Línea: 14, Columna: 20
Token: FLOAT_LITERAL, Tipo: UNDEFINED, Línea: 14, Columna: 28
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 14, Columna: 33
Token: INTEGER, Tipo: INTEGER, Línea: 15, Columna: 5
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 15, Columna: 13
Token: ASSIGN, Tipo: UNDEFINED, Línea: 15, Columna: 19
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 15, Columna: 27
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 15, Columna: 29
Token: CHAR, Tipo: CHAR, Línea: 17, Columna: 5
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 17, Columna: 12
Token: OPEN_BRACKET, Tipo: UNDEFINED, Línea: 17, Columna: 18
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 17, Columna: 30
Token: CLOSE_BRACKET, Tipo: UNDEFINED, Línea: 17, Columna: 36
Token: ASSIGN, Tipo: UNDEFINED, Línea: 17, Columna: 50
Token: OPEN_BLOCK, Tipo: UNDEFINED, Línea: 17, Columna: 58
Token: CHAR_LITERAL, Tipo: UNDEFINED, Línea: 17, Columna: 69
Token: COMMA, Tipo: UNDEFINED, Línea: 17, Columna: 72
Token: CHAR_LITERAL, Tipo: UNDEFINED, Línea: 17, Columna: 73
Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 17, Columna: 77
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 17, Columna: 90
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 18, Columna: 5
Token: OPEN_BRACKET, Tipo: UNDEFINED, Línea: 18, Columna: 11
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 18, Columna: 23
Token: MINUS, Tipo: UNDEFINED, Línea: 18, Columna: 29
